"id","name","rating"
447137,"Aegis of the Heavens",1
447138,"Aethershield Artificer",2.5
447139,"Ajani, Adversary of Tyrants",4.5
447140,"Ajani's Last Stand",3
447141,"Ajani's Pridemate",3.5
447142,"Ajani's Welcome",1.5
447143,"Angel of the Dawn",3.5
447144,"Cavalry Drillmaster",2.5
447145,"Cleansing Nova",4
447146,"Daybreak Chaplain",2.5
447147,"Dwarven Priest",1.5
447148,"Gallant Cavalry",3.5
447149,"Herald of Faith",3.5
447150,"Hieromancer's Cage",4
447151,"Inspired Charge",1.5
447152,"Invoke the Divine",1
447153,"Isolate",0
447154,"Knight of the Tusk",1
447155,"Knight's Pledge",2
447156,"Knightly Valor",3.5
447157,"Lena, Selfless Champion",4
447158,"Leonin Vanguard",3
447159,"Leonin Warleader",4.5
447160,"Loxodon Line Breaker",1
447161,"Luminous Bonds",4
447162,"Make a Stand",2
447163,"Mentor of the Meek",3.5
447164,"Mighty Leap",1
447165,"Militia Bugler",3.5
447166,"Novice Knight",1.5
447167,"Oreskos Swiftclaw",1.5
447168,"Pegasus Courser",3.5
447169,"Remorseful Cleric",3
447170,"Resplendent Angel",5
447171,"Revitalize",1.5
447172,"Rustwing Falcon",3
447173,"Shield Mare",2.5
447174,"Star-Crowned Stag",3.5
447175,"Suncleanser",1.5
447176,"Take Vengeance",3.5
447177,"Trusty Packbeast",1
447178,"Valiant Knight",3.5
447179,"Aether Tunnel",1
447180,"Anticipate",1.5
447181,"Aven Wind Mage",3
447182,"Aviation Pioneer",3
447183,"Bone to Ash",3
447184,"Cancel",2
447185,"Departed Deckhand",3.5
447186,"Disperse",1.5
447187,"Divination",3
447188,"Djinn of Wishes",4.5
447189,"Dwindle",2
447190,"Essence Scatter",3
447191,"Exclusion Mage",3.5
447192,"Frilled Sea Serpent",2
447193,"Gearsmith Prodigy",1.5
447194,"Ghostform",0.5
447195,"Horizon Scholar",3
447196,"Metamorphic Alteration",3
447197,"Mirror Image",3
447198,"Mistcaller",0
447199,"Mystic Archaeologist",3
447200,"Omenspeaker",3
447201,"Omniscience",0.5
447202,"One with the Machine",1.5
447203,"Patient Rebuilding",3.5
447204,"Psychic Corrosion",2
447205,"Sai, Master Thopterist",3
447206,"Salvager of Secrets",2.5
447207,"Scholar of Stars",2
447208,"Sift",2.5
447209,"Skilled Animator",3
447210,"Sleep",3
447211,"Snapping Drake",2.5
447212,"Supreme Phantom",3
