"id","name","rating"
439658,"Baffling End",4
439659,"Bishop of Binding",4.5
439660,"Blazing Hope",1.5
439661,"Cleansing Ray",1
439662,"Divine Verdict",3.5
439663,"Everdawn Champion",3.5
439664,"Exultant Skymarcher",3.5
439665,"Famished Paladin",2
439666,"Forerunner of the Legion",4
439667,"Imperial Ceratops",2
439668,"Legion Conquistador",3
439669,"Luminous Bonds",4
439670,"Majestic Heliopterus",3
439671,"Martyr of Dusk",3.5
439672,"Moment of Triumph",2.5
439673,"Paladin of Atonement",3.5
439674,"Pride of Conquerors",3.5
439675,"Radiant Destiny",4
439676,"Raptor Companion",2
439677,"Sanguine Glorifier",3
439678,"Skymarcher Aspirant",3.5
439679,"Slaughter the Strong",3.5
439680,"Snubhorn Sentry",2.5
439681,"Sphinx's Decree",0.5
439682,"Squire's Devotion",3.5
439683,"Sun Sentinel",2
439684,"Sun-Crested Pterodon",3.5
439685,"Temple Altisaur",3.5
439686,"Trapjaw Tyrant",4.5
439687,"Zetalpa, Primal Dawn",4
439688,"Admiral's Order",2
439689,"Aquatic Incursion",2.5
439690,"Crafty Cutpurse",2
439691,"Crashing Tide",2.5
439692,"Curious Obsession",4
439693,"Deadeye Rig-Hauler",3.5
439694,"Expel from Orazca",3
439695,"Flood of Recollection",1.5
439696,"Hornswoggle",2.5
439697,"Induced Amnesia",1.5
439698,"Kitesail Corsair",3.5
439699,"Kumena's Awakening",3.5
439700,"Mist-Cloaked Herald",3
439701,"Negate",1.5
439702,"Nezahal, Primal Tide",3.5
439703,"Release to the Wind",1.5
439704,"River Darter",2
439705,"Riverwise Augur",3
439706,"Sailor of Means",3.5
439707,"Sea Legs",2
439708,"Seafloor Oracle",3.5
439709,"Secrets of the Golden City",3
439710,"Silvergill Adept",3.5
439711,"Siren Reaver",3.5
439712,"Slippery Scoundrel",3.5
439713,"Soul of the Rapids",3.5
439714,"Spire Winder",3.5
439715,"Sworn Guardian",1
439716,"Timestream Navigator",3
439717,"Warkite Marauder",4
439718,"Waterknot",4
439719,"Arterial Flow",2.5
439720,"Canal Monitor",1
439721,"Champion of Dusk",4
439722,"Dark Inquiry",1.5
439723,"Dead Man's Chest",2
439724,"Dinosaur Hunter",3
439725,"Dire Fleet Poisoner",4
439726,"Dusk Charger",3
439727,"Dusk Legion Zealot",3.5
439728,"Fathom Fleet Boarder",3
439729,"Forerunner of the Coalition",3.5
439730,"Golden Demise",4
439731,"Grasping Scoundrel",1.5
439732,"Gruesome Fate",0.5
439733,"Impale",4
439734,"Mastermind's Acquisition",2
439735,"Mausoleum Harpy",3.5
439736,"Moment of Craving",4
439737,"Oathsworn Vampire",3
439738,"Pitiless Plunderer",2
439739,"Ravenous Chupacabra",5
439740,"Reaver Ambush",4
439741,"Recover",2
439742,"Sadistic Skymarcher",4
439743,"Tetzimoc, Primal Death",5
439744,"Tomb Robber",3
439745,"Twilight Prophet",5
439746,"Vampire Revenant",3
439747,"Vona's Hunger",4
439748,"Voracious Vampire",3
439749,"Blood Sun",1
439750,"Bombard",4
439751,"Brass's Bounty",1
439752,"Brazen Freebooter",2
439753,"Buccaneer's Bravado",2
439754,"Charging Tuskodon",3.5
439755,"Daring Buccaneer",3
439756,"Dire Fleet Daredevil",3.5
439757,"Etali, Primal Storm",4.5
439758,"Fanatical Firebrand",3
439759,"Forerunner of the Empire",3.5
439760,"Form of the Dinosaur",2
439761,"Frilled Deathspitter",3
439762,"Goblin Trailblazer",3
439763,"Mutiny",3
439764,"Needletooth Raptor",4
439765,"Orazca Raptor",1.5
439766,"Pirate's Pillage",2.5
439767,"Reckless Rage",3.5
439768,"Rekindling Phoenix",5
439769,"See Red",2.5
439770,"Shake the Foundations",2
439771,"Shatter",0.5
439772,"Silverclad Ferocidons",3.5
439773,"Stampeding Horncrest",2.5
439774,"Storm Fleet Swashbuckler",3
439775,"Sun-Collared Raptor",2
439776,"Swaggering Corsair",2.5
439777,"Tilonalli's Crown",2
439778,"Tilonalli's Summoner",3.5
439779,"Aggressive Urge",2
439780,"Cacophodon",2.5
439781,"Cherished Hatchling",2.5
439782,"Colossal Dreadmaw",3
439783,"Crested Herdcaller",3.5
439784,"Deeproot Elite",4
439785,"Enter the Unknown",1.5
439786,"Forerunner of the Heralds",4
439787,"Ghalta, Primal Hunger",4.5
439788,"Giltgrove Stalker",3
439789,"Hardy Veteran",2.5
439790,"Hunt the Weak",3.5
439791,"Jade Bearer",2
439792,"Jadecraft Artisan",3
439793,"Jadelight Ranger",4.5
439794,"Jungleborn Pioneer",3.5
439795,"Knight of the Stampede",3.5
439796,"Naturalize",1
439797,"Orazca Frillback",2
439798,"Overgrown Armasaur",3
439799,"Path of Discovery",3.5
439800,"Plummet",1.5
439801,"Polyraptor",4
439802,"Strength of the Pack",2.5
439803,"Swift Warden",3.5
439804,"Tendershoot Dryad",4.5
439805,"Thrashing Brontodon",4
439806,"Thunderherd Migration",2.5
439807,"Wayward Swordtooth",3.5
439808,"World Shaper",3
439809,"Angrath, the Flame-Chained",5
439810,"Atzocan Seer",3.5
439811,"Azor, the Lawbringer",4.5
439812,"Deadeye Brawler",4
439813,"Dire Fleet Neckbreaker",3.5
439814,"Elenda, the Dusk Rose",4
439815,"Hadana's Climb // Winged Temple of Orazca",4
439817,"Huatli, Radiant Champion",4
439818,"Journey to Eternity // Atzal, Cave of Eternity",4
439820,"Jungle Creeper",3.5
439821,"Kumena, Tyrant of Orazca",4
439822,"Legion Lieutenant",4
439823,"Merfolk Mistbinder",4
439824,"Path of Mettle // Metzali, Tower of Triumph",3
439826,"Profane Procession // Tomb of the Dusk Rose",4.5
439828,"Protean Raider",3.5
439829,"Raging Regisaur",4
439830,"Relentless Raptor",3.5
439831,"Resplendent Griffin",4
439832,"Siegehorn Ceratops",3.5
439833,"Storm Fleet Sprinter",4
439834,"Storm the Vault // Vault of Catlacan",2
439836,"Zacama, Primal Calamity",4
439837,"Awakened Amalgam",1.5
439838,"Azor's Gateway // Sanctum of the Sun",3.5
439840,"Captain's Hook",3.5
439841,"Gleaming Barrier",1.5
439842,"Golden Guardian // Gold-Forge Garrison",3.5
439844,"The Immortal Sun",4.5
439845,"Orazca Relic",1
439846,"Silent Gravestone",1
439847,"Strider Harness",1.5
439848,"Traveler's Amulet",2
439849,"Arch of Orazca",3.5
439850,"Evolving Wilds",2.5
439851,"Forsaken Sanctuary",1
439852,"Foul Orchard",1
439853,"Highland Lake",1.5
439854,"Stone Quarry",0.5
439855,"Woodland Stream",1.5
439856,"Plains",0.5
439857,"Island",0
439858,"Swamp",0
439859,"Mountain",0
439860,"Forest",0
435152,"Adanto Vanguard",3.5
435153,"Ashes of the Abhorrent",1
435154,"Axis of Mortality",0.5
435155,"Bellowing Aegisaur",3
435156,"Bishop of Rebirth",3.5
435157,"Bishop's Soldier",3
435158,"Bright Reprisal",3
435159,"Demystify",0
435160,"Duskborne Skymarcher",3
435161,"Emissary of Sunrise",3
435162,"Encampment Keeper",0.5
435163,"Glorifier of Dusk",3
435164,"Goring Ceratops",2.5
435165,"Imperial Aerosaur",3.5
435166,"Imperial Lancer",1
435167,"Inspiring Cleric",2.5
435168,"Ixalan's Binding",4
435169,"Kinjalli's Caller",1.5
435170,"Kinjalli's Sunwing",3.5
435171,"Legion Conquistador",2
435172,"Legion's Judgment",2.5
435173,"Legion's Landing // Adanto, the First Fort",4
435175,"Looming Altisaur",0.5
435176,"Mavren Fein, Dusk Apostle",3.5
435177,"Paladin of the Bloodstained",3
435178,"Pious Interdiction",3.5
435179,"Priest of the Wakening Sun",2
435180,"Pterodon Knight",2.5
435181,"Queen's Commission",2
435182,"Rallying Roar",2
435183,"Raptor Companion",1.5
435184,"Ritual of Rejuvenation",0.5
435185,"Sanguine Sacrament",1
435186,"Settle the Wreckage",4
435187,"Sheltering Light",1.5
435188,"Shining Aerosaur",3
435189,"Skyblade of the Legion",2.5
435190,"Slash of Talons",3
435191,"Steadfast Armasaur",2.5
435192,"Sunrise Seeker",1
435193,"Territorial Hammerskull",3.5
435194,"Tocatli Honor Guard",1.5
435195,"Vampire's Zeal",2.5
435196,"Wakening Sun's Avatar",3
435197,"Air Elemental",3.5
435198,"Arcane Adaptation",0.5
435199,"Cancel",1
435200,"Chart a Course",3
435201,"Daring Saboteur",3
435202,"Deadeye Quartermaster",1
435203,"Deeproot Waters",1.5
435204,"Depths of Desire",2
435205,"Dive Down",1.5
435206,"Dreamcaller Siren",3.5
435207,"Entrancing Melody",3.5
435208,"Favorable Winds",1
435209,"Fleet Swallower",2
435210,"Headwater Sentries",0.5
435211,"Herald of Secret Streams",2.5
435212,"Jace, Cunning Castaway",3.5
435213,"Kopala, Warden of Waves",2.5
435214,"Lookout's Dispersal",1.5
435215,"Navigator's Ruin",1
435216,"One With the Wind",3
435217,"Opt",1.5
435218,"Overflowing Insight",1.5
435219,"Perilous Voyage",2
435220,"Pirate's Prize",1
435221,"Prosperous Pirates",2
435222,"River Sneak",2.5
